Breed1,Breed2,Breed3,Breed4,id
0.11200139055422,0.663989357872725,0.11200139055422,0.112007861018834,sample_1
0.2486990423505,0.253902872947281,0.2486990423505,0.248699042351719,sample_2
0.227790171280636,0.227790175209942,0.316432608613533,0.227987044895889,sample_3
0.249950865057258,0.250121050032609,0.249950873164284,0.249977211745849,sample_4
0.249802753408515,0.24980275587936,0.249802753408921,0.250591737303203,sample_5
0.249514884043459,0.249514884014769,0.249514884014769,0.251455347927003,sample_6
0.249995734789911,0.24999573478984,0.249995734789827,0.250012795630422,sample_7
0.606805053001927,0.131063021647678,0.131063021647677,0.131068903702718,sample_8
0.249771245753977,0.249771245753977,0.249771245753983,0.250686262738064,sample_9
0.311806347154797,0.229397639015084,0.229397639012274,0.229398374817845,sample_10
0.24664960139284,0.260051195023304,0.24664960139284,0.246649602191016,sample_11
0.232203677805394,0.232203679049196,0.303375268349949,0.232217374795462,sample_12
0.249823364122086,0.249823237459841,0.249823037105453,0.250530361312621,sample_13
0.249813269440987,0.249813269471927,0.249813269438065,0.250560191649021,sample_14
0.244504749889822,0.244504750871863,0.266485574197934,0.244504925040382,sample_15
0.146723972804134,0.146724889409871,0.559822044300736,0.146729093485258,sample_16
0.575078975168111,0.141615149680582,0.141615149680487,0.14169072547082,sample_17
0.249879995350437,0.249879995451877,0.24987999543315,0.250360013764537,sample_18
0.325610142598593,0.224796380354555,0.224796380354118,0.224797096692733,sample_19
0.515122104226899,0.161625889062835,0.161625889062835,0.161626117647431,sample_20
0.221793385397161,0.221793385399122,0.334619356345034,0.221793872858682,sample_21
0.249933831335493,0.25019850595973,0.249933831335493,0.249933831369283,sample_22
0.249982978941293,0.249985275066273,0.249982978949791,0.250048767042643,sample_23
0.237809202451932,0.237809279862941,0.286572294047632,0.237809223637496,sample_24
0.249784710560815,0.250609443592159,0.249784710562297,0.249821135284729,sample_25
0.249914502220021,0.249914502220021,0.249914502220021,0.250256493339937,sample_26
0.249963078971209,0.249963079531218,0.249963078971209,0.250110762526364,sample_27
0.24966520264874,0.251004370489566,0.24966520264874,0.249665224212953,sample_28
0.24861055182455,0.248610551844488,0.25416678474878,0.248612111582183,sample_29
0.249694539089858,0.250916372740388,0.249694539090298,0.249694549079456,sample_30
0.181489859361649,0.181489867292412,0.455527891565587,0.181492381780352,sample_31
0.24910155388148,0.252695325590042,0.24910155388148,0.249101566646998,sample_32
0.248967754503001,0.248967754502911,0.248967754502892,0.253096736491196,sample_33
0.24955041975343,0.24955041975343,0.24955041975343,0.25134874073971,sample_34
0.250196627913458,0.249934333007861,0.249934333008037,0.249934706070644,sample_35
0.377346406310872,0.207550563158948,0.207550563173793,0.207552467356387,sample_36
0.248609162222891,0.24860911318425,0.248609110623656,0.254172613969203,sample_37
0.236296271454606,0.291110835537918,0.236296271454606,0.23629662155287,sample_38
